ID,bankssts_left,caudalanteriorcingulate_left,caudalmiddlefrontal_left,cuneus_left,entorhinal_left,fusiform_left,inferiorparietal_left,inferiortemporal_left,isthmuscingulate_left,lateraloccipital_left,lateralorbitofrontal_left,lingual_left,medialorbitofrontal_left,middletemporal_left,parahippocampal_left,paracentral_left,parsopercularis_left,parsorbitalis_left,parstriangularis_left,pericalcarine_left,postcentral_left,posteriorcingulate_left,precentral_left,precuneus_left,rostralanteriorcingulate_left,rostralmiddlefrontal_left,superiorfrontal_left,superiorparietal_left,superiortemporal_left,supramarginal_left,frontalpole_left,temporalpole_left,transversetemporal_left,insula_left,bankssts_right,caudalanteriorcingulate_right,caudalmiddlefrontal_right,cuneus_right,entorhinal_right,fusiform_right,inferiorparietal_right,inferiortemporal_right,isthmuscingulate_right,lateraloccipital_right,lateralorbitofrontal_right,lingual_right,medialorbitofrontal_right,middletemporal_right,parahippocampal_right,paracentral_right,parsopercularis_right,parsorbitalis_right,parstriangularis_right,pericalcarine_right,postcentral_right,posteriorcingulate_right,precentral_right,precuneus_right,rostralanteriorcingulate_right,rostralmiddlefrontal_right,superiorfrontal_right,superiorparietal_right,superiortemporal_right,supramarginal_right,frontalpole_right,temporalpole_right,transversetemporal_right,insula_right
DMHDS20717,3268,1789,7066,2631,2820,10269,14943,10811,2803,11247,9711,4754,7092,11549,2080,4154,4983,3285,3233,1609,10943,2854,16549,11351,3014,18511,25857,13829,13896,12381,1060,2333,1156,7786,2512,2392,7423,2777,2635,10700,17097,13530,2911,8445,8780,5226,7124,12265,1614,5029,5826,3029,5527,2170,11888,4642,14899,13095,1807,20130,27053,13119,12905,11094,1153,2780,810,8916
DMHDS21221,1751,1416,4819,3954,1633,11118,11120,8613,2980,13978,7124,6855,5138,7749,1544,3341,3987,2227,3965,2581,8171,2809,12537,9336,2799,14985,19152,11491,11008,8421,934,2139,1437,5827,2178,1591,4704,5078,1770,9191,13522,10297,2753,14204,7731,8545,5840,10459,1568,3981,4002,2961,4771,2437,9375,3080,12468,10918,2054,14961,20768,14178,11193,10698,1234,2311,1292,6529
DMHDS21021,2716,1802,5410,2219,1596,9319,12473,9777,2570,9214,7168,4753,5519,10227,1936,3099,4010,2017,2754,1494,7924,3101,10975,8812,1699,13200,18210,10086,11834,10473,932,2935,1062,6588,2012,1192,5674,2533,1539,7819,13301,9445,2430,10537,6939,4148,5275,10883,1814,3523,3534,2227,3683,1613,7675,2829,11071,9306,2017,11443,17539,10428,9994,8369,996,3293,774,6437
DMHDS21133,2638,2300,6044,3564,2014,10020,13361,11482,2831,13795,8034,7293,6303,11083,2195,3835,4403,2504,3464,2398,9392,3839,13649,8930,2656,15155,23555,12517,13768,10427,1014,2837,1055,6340,2663,1879,5566,4328,1984,9819,15648,11144,2516,11486,7263,7368,6241,12318,2355,3957,4183,2752,4531,2208,11819,3519,14009,9885,2241,17078,21880,13325,12921,10693,1242,2073,1112,6682
DMHDS1181,2045,1773,4377,2362,2317,9102,11330,9016,2510,10198,7349,5257,5766,9845,2020,3201,4671,2675,4018,1502,7937,2836,11544,10279,1846,14632,21117,13081,13040,9601,888,3333,1068,7632,2142,1953,5449,3004,1761,8936,14251,10670,2448,9478,7702,6011,6619,9439,1757,3585,4582,2583,4111,1826,7790,3405,11755,10193,1853,14051,18366,11953,10529,9168,1208,3264,1064,6779
DMHDS1221,1879,1710,5165,4296,2163,11975,12512,9993,3105,14939,7536,7811,5792,8547,1948,3311,4348,2396,4326,2781,9677,3120,13852,9584,2995,15820,20127,12861,12068,9126,981,2789,1505,6603,2094,1316,4107,4313,1375,8093,12862,9826,2303,13002,7620,6770,5374,8977,1234,3704,3780,2630,4183,2125,8166,2559,11575,10132,1810,13565,18933,12341,10258,9895,1159,2439,1127,5957
DMHDS1222,1934,1299,6314,2491,1787,8039,10595,12063,2170,10111,7513,5367,5413,10900,1928,3862,4666,2341,4051,1865,9486,3433,11544,10014,2858,14729,23639,15445,11524,11073,1160,2158,1139,7041,2225,1109,5670,3688,1978,8171,11851,10243,2676,10584,6829,5602,5868,11988,1570,4123,4631,2287,4387,2522,8635,2983,10936,10532,1613,15415,24048,13337,11611,11078,1238,2137,998,6834
DMHDS0774,2660,1925,7945,2821,1678,11274,13236,11269,2185,10707,9137,6179,5786,12645,2558,4217,6159,2639,4599,2000,11236,4153,14914,12008,2584,17691,27720,14469,14567,11511,1216,2614,1596,8859,2730,2857,8389,2925,1816,11341,14996,12121,2265,10406,7860,4977,7322,12808,2000,4974,6613,3198,5466,2052,10497,4460,13706,11712,2185,16237,24615,13944,14014,11088,1509,2641,1082,8544
DMHDS0500,2650,2124,7564,3130,1879,12816,14759,12930,2352,12233,9807,5480,5917,11949,1897,4307,5801,2701,4517,2150,9818,3875,15486,11118,3475,15616,26319,15454,13389,11446,1128,3364,1274,8001,2335,1031,7116,3004,1842,9314,12772,12800,2323,10320,8029,6001,5998,12066,1977,3726,4207,2957,4970,2160,7951,3258,14489,11802,1764,15231,23972,13440,11777,12033,1480,2833,1017,7957
DMHDS1133,2126,1871,5465,3133,2015,9775,12525,11052,2621,14284,7261,6531,5466,10743,2183,3278,3952,2274,3248,1984,8548,3011,12564,7314,2205,13996,20938,11175,12719,9618,930,2178,918,6274,2499,1660,4843,3848,1859,9649,14549,10355,2133,11977,6904,6642,4919,11542,2251,3356,3662,2529,3987,1891,10293,2885,12641,8277,1999,14832,19572,12317,11699,9858,1127,1652,902,6466
