ID,bankssts_left,caudalanteriorcingulate_left,caudalmiddlefrontal_left,cuneus_left,entorhinal_left,fusiform_left,inferiorparietal_left,inferiortemporal_left,isthmuscingulate_left,lateraloccipital_left,lateralorbitofrontal_left,lingual_left,medialorbitofrontal_left,middletemporal_left,parahippocampal_left,paracentral_left,parsopercularis_left,parsorbitalis_left,parstriangularis_left,pericalcarine_left,postcentral_left,posteriorcingulate_left,precentral_left,precuneus_left,rostralanteriorcingulate_left,rostralmiddlefrontal_left,superiorfrontal_left,superiorparietal_left,superiortemporal_left,supramarginal_left,frontalpole_left,temporalpole_left,transversetemporal_left,insula_left,bankssts_right,caudalanteriorcingulate_right,caudalmiddlefrontal_right,cuneus_right,entorhinal_right,fusiform_right,inferiorparietal_right,inferiortemporal_right,isthmuscingulate_right,lateraloccipital_right,lateralorbitofrontal_right,lingual_right,medialorbitofrontal_right,middletemporal_right,parahippocampal_right,paracentral_right,parsopercularis_right,parsorbitalis_right,parstriangularis_right,pericalcarine_right,postcentral_right,posteriorcingulate_right,precentral_right,precuneus_right,rostralanteriorcingulate_right,rostralmiddlefrontal_right,superiorfrontal_right,superiorparietal_right,superiortemporal_right,supramarginal_right,frontalpole_right,temporalpole_right,transversetemporal_right,insula_right
DMHDS0719,0.020,0.019,0.021,0.028,0.029,0.026,0.021,0.035,0.028,0.026,0.034,0.030,0.031,0.023,0.018,0.015,0.022,0.025,0.026,0.030,0.022,0.030,0.019,0.022,0.046,0.033,0.026,0.023,0.020,0.026,0.045,0.049,0.024,0.037,0.019,0.023,0.018,0.028,0.033,0.030,0.024,0.042,0.030,0.026,0.035,0.031,0.027,0.027,0.013,0.016,0.023,0.046,0.024,0.026,0.021,0.032,0.019,0.025,0.026,0.035,0.027,0.021,0.019,0.023,0.053,0.057,0.027,0.030
DMHDS0549,0.023,0.017,0.019,0.027,0.021,0.027,0.020,0.028,0.028,0.032,0.028,0.028,0.026,0.024,0.017,0.017,0.022,0.028,0.024,0.027,0.022,0.023,0.020,0.027,0.024,0.027,0.024,0.022,0.019,0.023,0.048,0.037,0.019,0.024,0.014,0.017,0.019,0.028,0.017,0.024,0.024,0.029,0.028,0.027,0.030,0.029,0.024,0.023,0.019,0.019,0.020,0.029,0.026,0.030,0.020,0.028,0.018,0.024,0.021,0.026,0.027,0.019,0.018,0.022,0.048,0.030,0.018,0.023
DMHDS0437,0.012,0.016,0.018,0.030,0.019,0.027,0.025,0.027,0.024,0.027,0.026,0.032,0.030,0.025,0.016,0.017,0.024,0.034,0.028,0.031,0.021,0.027,0.021,0.022,0.023,0.030,0.023,0.020,0.019,0.022,0.044,0.042,0.023,0.029,0.010,0.014,0.021,0.026,0.032,0.032,0.019,0.025,0.029,0.026,0.034,0.032,0.029,0.020,0.020,0.017,0.024,0.027,0.020,0.026,0.020,0.023,0.019,0.022,0.031,0.031,0.023,0.020,0.013,0.021,0.048,0.037,0.029,0.031
DMHDS0669,0.017,0.019,0.018,0.031,0.033,0.028,0.021,0.028,0.027,0.029,0.029,0.029,0.029,0.025,0.027,0.012,0.023,0.023,0.030,0.027,0.018,0.029,0.017,0.026,0.021,0.026,0.024,0.021,0.022,0.023,0.034,0.039,0.026,0.032,0.018,0.019,0.022,0.029,0.029,0.032,0.023,0.028,0.031,0.029,0.037,0.034,0.027,0.025,0.018,0.019,0.018,0.030,0.025,0.028,0.017,0.031,0.018,0.023,0.029,0.030,0.029,0.022,0.020,0.025,0.049,0.036,0.018,0.030
DMHDS0637,0.015,0.023,0.025,0.032,0.050,0.030,0.026,0.032,0.040,0.031,0.049,0.032,0.039,0.025,0.019,0.024,0.028,0.032,0.027,0.035,0.022,0.027,0.027,0.030,0.041,0.037,0.030,0.026,0.030,0.027,0.060,0.064,0.044,0.032,0.014,0.017,0.024,0.033,0.035,0.029,0.036,0.030,0.037,0.036,0.051,0.033,0.034,0.024,0.019,0.027,0.028,0.034,0.024,0.036,0.022,0.032,0.024,0.032,0.043,0.034,0.030,0.028,0.021,0.031,0.049,0.053,0.034,0.047
DMHDS0723,0.016,0.013,0.018,0.029,0.029,0.023,0.024,0.025,0.032,0.028,0.031,0.030,0.026,0.020,0.018,0.020,0.021,0.031,0.025,0.029,0.019,0.032,0.018,0.024,0.029,0.031,0.024,0.023,0.016,0.024,0.038,0.049,0.020,0.030,0.014,0.026,0.018,0.028,0.026,0.028,0.025,0.025,0.034,0.026,0.037,0.035,0.019,0.021,0.030,0.018,0.019,0.025,0.022,0.025,0.018,0.027,0.019,0.026,0.025,0.031,0.025,0.023,0.016,0.024,0.053,0.045,0.020,0.029
DMHDS0716,0.015,0.013,0.020,0.029,0.033,0.025,0.023,0.026,0.026,0.028,0.033,0.031,0.019,0.024,0.012,0.016,0.022,0.031,0.024,0.025,0.022,0.025,0.019,0.027,0.024,0.032,0.023,0.021,0.018,0.025,0.034,0.025,0.024,0.026,0.021,0.011,0.021,0.032,0.015,0.024,0.024,0.028,0.032,0.027,0.030,0.031,0.026,0.024,0.018,0.017,0.016,0.026,0.023,0.031,0.020,0.033,0.019,0.025,0.031,0.030,0.024,0.022,0.020,0.023,0.039,0.031,0.019,0.028
DMHDS0735,0.017,0.016,0.023,0.035,0.070,0.034,0.026,0.037,0.032,0.032,0.048,0.037,0.032,0.028,0.031,0.020,0.025,0.039,0.029,0.035,0.023,0.028,0.025,0.028,0.032,0.036,0.031,0.028,0.023,0.025,0.039,0.045,0.019,0.038,0.019,0.025,0.018,0.034,0.023,0.027,0.028,0.029,0.031,0.031,0.058,0.039,0.038,0.022,0.021,0.025,0.027,0.047,0.030,0.035,0.022,0.033,0.023,0.032,0.034,0.039,0.029,0.029,0.020,0.025,0.056,0.046,0.018,0.030
DMHDS0733,0.010,0.022,0.021,0.023,0.025,0.026,0.020,0.028,0.021,0.027,0.027,0.027,0.033,0.020,0.023,0.022,0.019,0.037,0.019,0.067,0.018,0.023,0.019,0.021,0.023,0.026,0.023,0.024,0.017,0.022,0.030,0.047,0.022,0.032,0.017,0.017,0.017,0.034,0.022,0.026,0.021,0.031,0.027,0.028,0.031,0.030,0.021,0.023,0.018,0.018,0.021,0.029,0.022,0.038,0.018,0.025,0.035,0.023,0.028,0.028,0.024,0.021,0.016,0.024,0.033,0.039,0.023,0.035
DMHDS0465,0.015,0.012,0.022,0.036,0.041,0.032,0.025,0.026,0.029,0.027,0.038,0.033,0.029,0.023,0.018,0.017,0.023,0.040,0.021,0.032,0.021,0.036,0.025,0.032,0.022,0.036,0.030,0.027,0.020,0.025,0.037,0.048,0.025,0.037,0.016,0.019,0.027,0.026,0.040,0.036,0.030,0.035,0.036,0.031,0.049,0.034,0.028,0.031,0.036,0.018,0.028,0.034,0.024,0.029,0.023,0.034,0.022,0.033,0.028,0.034,0.028,0.025,0.025,0.030,0.057,0.051,0.017,0.033
