ID,unknown_left,bankssts_left,caudalanteriorcingulate_left,caudalmiddlefrontal_left,cuneus_left,entorhinal_left,fusiform_left,inferiorparietal_left,inferiortemporal_left,isthmuscingulate_left,lateraloccipital_left,lateralorbitofrontal_left,lingual_left,medialorbitofrontal_left,middletemporal_left,parahippocampal_left,paracentral_left,parsopercularis_left,parsorbitalis_left,parstriangularis_left,pericalcarine_left,postcentral_left,posteriorcingulate_left,precentral_left,precuneus_left,rostralanteriorcingulate_left,rostralmiddlefrontal_left,superiorfrontal_left,superiorparietal_left,superiortemporal_left,supramarginal_left,frontalpole_left,temporalpole_left,transversetemporal_left,insula_left,unknown_right,bankssts_right,caudalanteriorcingulate_right,caudalmiddlefrontal_right,cuneus_right,entorhinal_right,fusiform_right,inferiorparietal_right,inferiortemporal_right,isthmuscingulate_right,lateraloccipital_right,lateralorbitofrontal_right,lingual_right,medialorbitofrontal_right,middletemporal_right,parahippocampal_right,paracentral_right,parsopercularis_right,parsorbitalis_right,parstriangularis_right,pericalcarine_right,postcentral_right,posteriorcingulate_right,precentral_right,precuneus_right,rostralanteriorcingulate_right,rostralmiddlefrontal_right,superiorfrontal_right,superiorparietal_right,superiortemporal_right,supramarginal_right,frontalpole_right,temporalpole_right,transversetemporal_right,insula_right
DMHDS1148,8660,1226,553,3019,2028,766,3429,6241,5320,1254,8669,4042,3392,2764,4838,905,2072,2352,1008,2387,1900,4925,1320,6407,5016,1359,8153,11548,7519,5444,4451,420,685,706,3300,8672,1291,1220,2391,2050,407,3626,6928,4298,1120,7233,3519,4394,2658,4772,1007,2068,2096,1067,2230,2449,5803,1469,6690,5024,757,9218,10129,7049,6402,5467,459,556,618,3239
DMHDS1187,7655,1825,925,2990,2460,665,5312,7132,5105,1660,8542,4045,3794,2554,5431,1253,1943,2290,1059,1818,1896,6253,1665,7737,5249,1366,7522,9106,8603,6878,5138,332,611,839,3226,7962,1433,901,2890,2310,649,3959,9742,5204,1620,7683,3631,5302,2298,5729,1092,2348,1913,1085,1931,1861,6106,1632,7615,5935,837,8019,9682,8567,5748,5388,457,605,690,3392
DMHDS0899,6950,1538,773,2998,2576,670,4810,6624,5731,1362,8345,4470,5050,3075,4499,1287,2002,2310,988,1703,2474,6969,1879,7593,5803,1143,8600,11161,8431,6440,5258,441,743,1079,3609,7052,936,823,2224,2499,460,5140,7535,6218,1032,9018,4628,4879,2965,5604,1060,2650,2124,1120,2418,2516,6347,1512,7869,5942,804,9235,10746,9127,5902,5118,483,719,683,3417
DMHDS0682,8068,1231,737,3007,2514,702,4270,6661,5251,1291,9531,3518,5134,2593,5153,1238,1777,2400,959,2261,2267,5657,1431,6869,4904,985,8463,9693,6553,6328,4557,365,657,700,3649,8000,1633,1012,3130,2711,504,4184,7187,4755,1228,8886,3264,5702,2749,4964,1093,1858,1905,1210,2156,2702,5724,1485,6576,5355,1038,8716,9538,6569,5965,4370,444,730,557,2932
DMHDS1002,6768,1419,720,2257,2060,755,4170,6661,3873,1027,7508,3876,3750,2518,4286,999,1890,2222,1105,2152,2110,5753,1032,6777,4888,1084,7411,9606,6919,5347,5234,350,636,583,3120,6845,1231,853,2861,2241,489,4197,7044,3952,1093,7244,3503,4129,2824,4629,902,1800,1849,1159,2082,2126,5562,1303,6945,4950,742,7172,8504,7381,5013,4944,412,541,503,2920
DMHDS1014,7678,1164,1096,2933,2748,651,3835,5855,4799,1634,8500,3684,3947,2541,4215,904,1869,2506,806,1665,2163,5839,1548,7740,4808,1337,7678,9170,7191,6002,4973,342,522,801,3444,7682,1015,1037,2751,2540,597,3967,7730,4388,1496,8346,3688,4185,2715,4683,858,1998,1834,1113,2176,2306,5831,1665,7667,5104,876,8074,9339,6801,5450,4059,426,608,582,3185
DMHDS0935,7185,880,650,3317,2360,534,3822,4471,3873,1089,6678,3519,4849,2778,3610,905,1483,1903,848,1532,2379,4583,1159,7199,3574,878,7654,10258,5150,4720,4904,355,549,752,3188,7343,1181,906,3709,2382,498,4183,5654,4151,1029,6475,2898,4634,2451,4336,800,1765,1932,914,1856,2455,3909,1302,7023,4163,656,7139,9963,5267,4521,3413,386,541,532,3048
DMHDS1156,9180,1925,785,3497,2040,853,5566,5813,5070,1498,7041,4187,3779,3132,4808,1465,1888,2505,1031,1858,1710,6812,1517,9285,5615,878,8549,10383,9903,6000,6008,374,694,885,3443,8926,1296,1214,3070,2452,656,4741,7626,5128,1362,6986,3780,4477,2675,5683,1009,2128,2228,1307,2345,2127,6563,1531,8505,6849,1235,9592,9333,8773,5935,6030,569,563,677,3715
DMHDS0610,7959,1344,968,3543,2389,663,4806,6413,4715,1559,7612,3686,4441,2959,3594,1254,2185,2660,1091,1974,2381,6147,1468,7946,5196,1305,7890,10676,7624,5666,5266,365,764,855,3466,7501,1270,1041,3844,2896,535,3954,6089,4377,1440,7235,3875,4765,2404,5056,1044,2315,2158,1212,2261,2783,6527,1472,7649,5778,915,7508,10317,7810,4947,5205,449,686,586,3314
DMHDS1030,7456,1440,885,3494,2212,553,4624,6241,4818,1598,7105,4394,4259,2869,4921,1059,1900,2211,1053,1972,1528,5749,1670,7228,6153,1251,8199,9800,9365,7036,5798,310,599,883,3399,7807,1260,949,3098,2604,500,4540,8051,5110,1180,7722,4339,4470,2925,5464,1042,2458,1930,1288,2090,1996,5729,1604,6664,6209,825,9208,9074,8330,5680,5521,476,541,635,3330
