ID,caudalanteriorcingulate_left,caudalmiddlefrontal_left,cuneus_left,entorhinal_left,fusiform_left,inferiorparietal_left,inferiortemporal_left,isthmuscingulate_left,lateraloccipital_left,lateralorbitofrontal_left,lingual_left,medialorbitofrontal_left,middletemporal_left,parahippocampal_left,paracentral_left,parsopercularis_left,parsorbitalis_left,parstriangularis_left,pericalcarine_left,postcentral_left,posteriorcingulate_left,precentral_left,precuneus_left,rostralanteriorcingulate_left,rostralmiddlefrontal_left,superiorfrontal_left,superiorparietal_left,superiortemporal_left,supramarginal_left,transversetemporal_left,insula_left,caudalanteriorcingulate_right,caudalmiddlefrontal_right,cuneus_right,entorhinal_right,fusiform_right,inferiorparietal_right,inferiortemporal_right,isthmuscingulate_right,lateraloccipital_right,lateralorbitofrontal_right,lingual_right,medialorbitofrontal_right,middletemporal_right,parahippocampal_right,paracentral_right,parsopercularis_right,parsorbitalis_right,parstriangularis_right,pericalcarine_right,postcentral_right,posteriorcingulate_right,precentral_right,precuneus_right,rostralanteriorcingulate_right,rostralmiddlefrontal_right,superiorfrontal_right,superiorparietal_right,superiortemporal_right,supramarginal_right,transversetemporal_right,insula_right
DMHDS1044,1.5,3.0,4.9,0.5,4.3,5.9,5.3,1.4,10.9,5.3,7.0,2.5,5.2,0.5,1.9,1.4,1.0,1.9,2.8,6.1,1.6,5.6,4.7,1.6,8.7,10.7,5.8,6.0,4.8,0.5,2.1,0.8,1.9,3.8,0.3,3.1,7.6,5.7,1.3,10.2,6.7,7.2,1.9,5.8,0.6,2.0,2.0,1.0,2.1,3.1,6.0,1.8,5.7,5.0,1.1,6.7,13.1,6.1,5.2,5.5,0.5,3.6
DMHDS1053,0.7,2.2,3.3,0.9,3.9,6.0,5.1,1.0,7.6,5.6,5.2,2.3,4.0,0.8,2.1,1.7,0.8,1.7,3.0,5.6,1.9,5.3,4.2,1.6,6.6,8.7,4.2,5.7,4.9,0.7,2.3,0.6,2.2,3.5,0.3,3.1,6.1,5.8,1.1,9.1,5.4,7.7,1.6,3.9,0.3,1.8,1.1,1.1,2.0,2.8,5.2,1.8,4.7,5.5,1.0,5.6,11.3,5.7,6.1,4.0,0.5,2.3
DMHDS0902,0.9,2.6,3.5,0.5,4.0,5.3,5.2,1.5,9.0,5.7,5.6,3.0,4.9,0.4,1.4,2.0,1.5,1.9,2.8,5.8,1.7,5.6,5.5,1.3,7.3,12.4,4.8,5.2,5.4,1.0,2.6,0.4,3.4,4.4,0.4,3.3,5.6,5.4,1.0,9.2,6.3,6.8,3.8,5.0,0.5,1.5,1.8,1.0,1.7,3.3,5.9,1.3,5.7,6.4,0.8,7.0,13.9,5.8,5.9,5.3,0.7,3.1
DMHDS0780,0.8,2.6,4.2,0.6,4.8,8.1,5.2,1.2,8.5,7.0,6.8,3.0,5.6,0.4,1.5,1.7,0.8,2.1,2.8,6.6,1.8,5.8,6.4,1.3,7.1,10.3,5.9,6.0,5.9,0.5,3.2,0.9,2.7,3.0,0.3,5.1,7.7,7.5,1.0,10.9,6.0,5.3,4.2,5.5,1.9,1.7,2.0,1.6,2.6,2.8,6.2,2.1,5.9,6.0,1.5,7.6,11.5,7.5,5.8,5.8,0.6,3.1
DMHDS0847,0.8,2.5,4.3,0.4,4.6,6.4,5.8,1.1,11.0,6.8,7.6,2.8,5.3,0.9,3.1,2.0,0.7,2.0,3.0,6.3,2.2,6.8,4.8,0.9,7.1,11.1,7.6,4.5,4.8,0.6,2.1,1.3,2.3,4.3,0.5,3.5,7.3,5.0,1.2,10.4,7.8,7.2,2.0,5.2,1.3,1.8,1.7,1.2,2.5,3.1,6.0,2.2,6.0,6.4,1.1,8.3,12.1,7.3,4.7,5.5,0.6,2.2
DMHDS0974,0.6,2.7,3.7,0.9,4.7,5.8,5.4,1.1,10.1,7.0,6.4,3.8,5.4,1.3,2.2,1.5,1.1,2.1,2.3,5.9,1.3,6.2,4.3,1.7,8.0,10.5,5.4,7.0,4.6,0.8,3.1,0.8,3.1,4.0,0.8,4.5,7.1,6.4,1.3,11.0,7.2,6.1,3.0,4.5,0.9,1.6,2.1,1.0,2.4,2.4,5.3,1.8,5.5,5.6,0.9,7.0,14.5,5.9,6.2,6.0,0.6,2.6
DMHDS0901,1.2,2.2,3.0,0.6,4.4,6.6,6.5,1.2,8.8,7.4,5.7,3.1,6.9,1.5,1.7,2.0,1.7,2.8,1.8,6.1,1.3,4.3,6.1,1.8,6.6,9.9,5.6,6.5,4.8,0.6,4.0,0.9,2.1,3.0,1.3,4.6,7.5,7.5,1.7,11.6,9.4,5.8,2.8,5.0,1.2,1.4,2.0,1.2,1.9,2.3,6.0,1.9,5.6,5.2,0.7,7.2,12.2,5.8,5.3,5.3,0.7,4.1
DMHDS0889,0.7,3.5,3.4,0.5,5.4,6.6,7.4,1.9,10.6,7.3,5.5,1.4,6.2,1.0,1.7,2.1,1.3,2.0,2.5,5.1,1.9,6.2,4.3,1.8,6.1,10.2,6.0,6.2,5.3,1.1,2.3,0.9,2.4,3.9,0.2,3.1,8.9,5.9,1.8,7.2,6.2,6.4,1.8,5.9,0.6,2.2,1.6,1.0,1.8,2.8,4.9,2.1,5.5,6.1,0.8,6.5,12.5,6.5,5.1,4.3,0.5,2.1
DMHDS1070,1.3,2.2,3.2,0.4,3.9,4.8,6.7,1.4,8.8,5.4,6.3,1.6,5.7,0.7,1.4,1.7,1.1,2.9,3.0,6.0,2.4,5.4,5.9,1.8,6.5,11.5,5.0,6.9,5.3,1.3,2.6,0.5,2.8,3.3,0.5,4.5,7.8,6.8,1.0,9.9,5.9,6.4,2.1,5.3,0.5,1.6,2.2,0.9,2.5,2.5,5.4,1.3,5.7,6.6,1.2,7.3,11.1,6.4,5.2,5.1,0.4,2.6
DMHDS1074,1.0,2.9,5.7,0.8,6.9,7.8,7.1,2.2,13.3,7.8,9.3,3.3,7.3,0.7,1.9,2.2,1.1,2.6,5.3,8.2,2.0,7.0,8.2,1.9,8.2,14.2,8.7,7.4,5.6,0.8,4.5,0.9,2.9,6.2,0.7,5.9,11.1,8.9,2.3,16.1,7.4,9.7,3.3,7.0,1.0,2.3,1.9,1.1,2.2,4.7,6.9,2.1,7.1,7.6,1.2,11.3,18.3,7.9,8.4,5.4,0.6,3.5
DMHDS0976,0.9,3.2,4.6,0.3,4.5,6.1,7.3,2.0,10.4,6.8,7.8,2.0,6.2,0.4,1.9,1.2,0.8,2.5,3.1,5.4,2.4,5.4,5.8,1.4,7.6,13.7,5.4,6.5,5.6,0.6,2.8,0.5,2.0,5.4,0.5,5.6,9.0,5.9,2.0,11.4,6.8,7.4,2.5,5.2,0.5,1.9,2.0,1.7,2.3,3.9,4.9,2.2,5.5,7.2,1.3,7.4,12.8,6.4,4.9,5.1,0.4,3.3
